링크,작가,내용,타이틀,할인율,할인된 가격,원본 가격,카테고리,이미지 URL,이미지 파일명
https://product.kyobobook.co.kr/detail/S000216354970,유시민,"혼탁한 정국마다 명료한 통찰을 전하며 ‘신경안정제’ 역할을 해준 우리 시대의 지식인 유시민. 그의 대표작 중 하나로 2009년 처음 출간되어 오랜 시간 사랑받아온 『청춘의 독서』가 고급 양장 제본의 특별증보판으로 독자들과 새롭게 만난다. 존 스튜어트 밀의 『자유론』에 관한 이야기와 특별증보판 서문이 추가됐다. 문장도 전체적으로 손봤다. 『청춘의 독서』는 유시민이 ‘청년 시절 읽었던 고전을 다시 읽어보면 어떨까? 시대도 변하고 나이도 들었으니 뭔가 다르지 않을까?’라는 생각에 손때 묻은 책들을 다시 펴보면서 시작되었다. 어린 시절 아버지의 서재에서 우연히 발견한 『죄와 벌』, 침침한 스탠드 불빛 아래 엎드려 몰래 읽었던 『공산당 선언』, 노무현 전 대통령의 가슴 아픈 마지막을 떠올리게 한 『카타리나 블룸의 잃어버린 명예』, 역사를 바라보는 새로운 눈을 뜨게 한 『역사란 무엇인가』 그리고 21세기가 된 지 한참이 지난 지금 다시 자유의 가치를 떠올리게 한 『자유론』까지. 누구보다 뜨거웠던 청년 유시민을 만든 원천이자, 오늘의 유시민이 자신뿐만 아니라 우리에게 던지는 질문에 대한 답을 품고 있는 책이기도 하다. “사람들은 왜 모두 부자가 되고 싶어 할까?”, “인간은 원래 이기적인 존재일까?”, “내 머리로 생각한다는 것은 과연 무엇일까?”, “사실은 어떻게 왜곡되는가?” 그리고 “어떻게 살아야 할까?” 문명의 역사에 거대한 이정표를 세운 15권의 위대한 책들. 그 안에는 앞서 살다 간 이들의 고민과 답이 담겨 있다. 『청춘의 독서』를 통해 그들이 남긴 발자취를 따라가다 보면 오늘을 사는 지혜를 배우고 더 나은 내일을 그리는 가슴 벅찬 경험을 하게 될 것이다.",청춘의 독서(특별증보판),10%,"17,010원","18,900원",인문,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788901294742.jpg,9788901294742.jpg
https://product.kyobobook.co.kr/detail/S000216122857,김영하,"『여행의 이유』 이후 6년 만의 신작 산문 -오직 한 번만 쓸 수 있는, 나의 삶에 대하여 김영하가 신작 산문 『단 한 번의 삶』을 출간했다. 60만 명이 넘는 독자의 사랑을 받은 『여행의 이유』 이후 6년 만에 선보이는 산문집으로, 유료 이메일 구독 서비스 ‘영하의 날씨’에 2024년 연재되었던 글을 대폭 수정하고 다듬어 묶었다. ‘영하의 날씨’는 초기 구독자의 초대로만 가입이 가능한 서비스로 화제를 모으며 연재 당시 뜨거운 호응을 얻었다. 『단 한 번의 삶』은 작가의 지난 산문들보다 더 사적이고 한층 내밀하다. 김영하는 ‘작가 김영하’에서 벗어나, 한 번뿐인 삶을 살아가는 우리 가운데 한 사람으로서 가만히 말을 건넨다. 열네 편의 이야기에 담긴 진솔한 가족사와 직접 경험한 인생의 순간을 아우르는 깊은 사유는 우리를 멈춰 생각하게 한다. 우리는 얼마나 서로를, 그리고 자신을 모르고 살아가는가. 생각은 하나의 질문으로 수렴된다. 내 앞에 놓인 삶을 어떻게 살아가야 할까. 이 책은 독자들에게 쉬운 위로나 뻔한 조언을 건네지 않는다. 대신 담담히 풀어낸 솔직한 경험과 고민을 통해 독자들이 자신의 삶을 되돌아보게 만든다. 『단 한 번의 삶』과 함께, 두고 온 시절에서 발견한 자기 삶의 장면들을 기록해보길 권한다. “원래 나는 ‘인생 사용법’이라는 호기로운 제목으로 원고를 쓰기 시작했다. 하지만 곧 내가 인생에 대해서 자신 있게 할 말이 별로 없다는 것을 깨달았다. 내가 알고 있는 것은 그저 내게 ‘단 한 번의 삶’이 주어졌다는 것뿐.”",단 한 번의 삶,10%,"15,120원","16,800원",시/에세이,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791191114768.jpg,9791191114768.jpg
https://product.kyobobook.co.kr/detail/S000216361656,한강,"“역사적 트라우마를 정면으로 마주하고 인간 삶의 연약함을 드러내는 강렬하고 시적인 산문”이라는 선정 이유와 함께 2024년 노벨문학상을 수상한 작가 한강의 신작 『빛과 실』(2025)이 문학과지성사 산문 시리즈 〈문지 에크리〉의 아홉번째 책으로 출간되었다. 노벨문학상 수상 강연문 「빛과 실」(2024)을 포함해 미발표 시와 산문, 그리고 작가가 자신의 온전한 최초의 집으로 ‘북향 방’과 ‘정원’을 얻고서 써낸 일기까지 총 열두 꼭지의 글이, 역시 작가가 기록한 사진들과 함께 묶였다. 삼십 년 넘게 ‘쓰는 사람’의 정체성으로, “세계는 왜 이토록 폭력적이고 고통스러운가? 동시에 세계는 어떻게 이렇게 아름다운가?”라는 “두 질문 사이의 긴장과 내적 투쟁”을 글쓰기의 동력으로 삼아온 작가가 그 숱한 질문들 속 “가장 깊은 겹”이 “언제나 사랑을 향하고” 있던 게 아닐까, 그것이 바로 “내 삶의 가장 오래고 근원적인 배음”(29쪽)이 아닐까 묻고 답하기까지, 시차를 두고 쓰인 시와 산문, 일기와 사진이 새롭게 제 자리를 잡았다. “북향의 사람”(「북향 방」)으로 읽고 쓰는 동안, 종일 빛이 들지 않는 정원에 음지에서도 견뎌내는 식물들의 뿌리를 내리고 탁상용 거울 여러 개의 방향을 옮겨가며 햇빛을 붙드는 작가의 작고도 간절한 일상을 따라 읽다 보면 자연스럽게 다음의 구절이 떠오른다. “이 행성에 깃들인 사람들과 생명체들의 일인칭을 끈질기게 상상하는, 끝끝내 우리를 연결하는 언어를 다루는 문학에는 필연적으로 체온이 깃들어 있습니다.”(34쪽) “글쓰기가 나를 밀고 생명 쪽으로 갔을 뿐이다.”(57쪽)라고 작가는 말했다. 책장을 넘기면 흑면과 백면이 교차하며 맞닿은 글과 이미지가 서로에게 스미고 또 끌어당기며 작가의 방과 정원에 깃드는 빛과 그림자를, 이어지는 작가의 낮과 밤을 읽는 이로 하여금 좇게 만든다. 멀게는 사십여 년 전 유년의 기억이 저장된 중철 제본 노트에서 시작된 사랑, 따뜻한 생명에 대한 의문과 갈구가, 가깝게는 코로나19-팬데믹에 휩싸인 2020~2024년 북향의 방과 정원에서 “보고 듣고 냄새 맡고 맛보고 부드러움과 온기와 차가움과 통증을 느끼는” “그 생생한 감각들”이 일기와 산문 속에서 오롯하다. “햇빛이 잎사귀들을 통과할 때 생겨나는 투명한 연둣빛이 있다. 그걸 볼 때마다 내가 느끼는 특유의 감각이 있다. 식물과 공생해온 인간의 유전자에 새겨진 것이리라 짐작되는, 거의 근원적이라고 느껴지는 기쁨의 감각이다.”(「북향 정원」, 95쪽) 여기, ‘시적인 산문’이란 한강의 언어가 ‘경계 없는 글쓰기’라는 형식과 만났을 때 비로소 우리가 마주하게 된 세계는 생명의 경이와 눈부신 빛으로 가득하다.",빛과 실,10%,"13,500원","15,000원",시/에세이,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788932043562.jpg,9788932043562.jpg
https://product.kyobobook.co.kr/detail/S000216262757,이재명,"《결국 국민이 합니다》는 2024년 12월 3일 ‘내란의 밤’부터 윤석열 대통령 탄핵소추안 가결, 2025년 4월 4일 헌재의 파면 선고까지 숨가빴던 순간들의 ‘막전막후’를 이재명의 시선으로 들여다본다. 비상계엄이 선포되고 국회로 달려가면서 유튜브 라이브 방송을 하게 된 이유, 국회 담을 넘고 본회의장으로 진입하기까지 숨 막혔던 순간들, 비상계엄 해제안 가결, 미국의 오판을 막기 위한 물밑 접촉, 국회 탄핵소추안 가결 후 ‘응원봉 집회’에서 흘린 이재명의 눈물까지 생생한 현장의 숨결을 느낄 수 있다. 2024년 1월 예상치 못한 피습으로 목숨을 잃을 뻔했으나 기적의 확률로 살아난 이야기, ‘소년공’ 출신 이재명의 인생항로와 정치 역정, 당대표직에 대한 소회, ‘정치란 무엇인가’라는 근본적인 물음까지 솔직담백하게 털어놓는다. “정치는 정치인이 하는 것 같아도 결국 국민이 하는 것입니다.” 이 말은 이재명이 늘 가슴에 새기고 다니는 경구이자 다짐이다. 과거를 후회하지 말고 미래에 집중해야 한다는 이재명에게 지금 대한민국의 위기는 기회이기도 하다. 그가 설계하고 있는 대한민국의 ‘회복과 성장’ 프로젝트, ‘대화와 포용’의 정치는 과연 어떤 것일까. 《결국 국민이 합니다》를 통해 그 이야기를 자세히 들려준다.",결국 국민이 합니다,10%,"19,800원","22,000원",정치/사회,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788997780624.jpg,9788997780624.jpg
https://product.kyobobook.co.kr/detail/S000216399884,폴 포돌스키,"《부의 전략 수업》은 헤지펀드의 대부인 레이 달리오가 주목한 월스트리트의 새로운 자수성가 아이콘, 폴 포돌스키의 부에 관한 예리하고 실전적인 내용을 담은 책이다. 우리는 모두 부를 원하지만, 그것은 얻기 쉽지 않다. 하루가 다르게 빠르게 변화하는 세계는 투자를 불확실하게 만들고, 끊임없이 변하는 자산의 가치는 미래를 예측하기 힘들게 만든다. 그리고 이 불안은 돈이 많아질수록 오히려 더 커진다. 더 벌고 싶다는 우리의 욕망도 끝이 없고, 만족은 점점 멀어진다. 이제 문제는 돈 자체가 아니라, 돈을 대하는 우리의 태도다. 《부의 전략 수업》은 일확천금이 아닌 지속 가능한 부를 만드는 방법을 탐구한다. 돈이 우리의 삶을 어떻게 지배하는지, 그리고 우리가 어떻게 돈의 주인이 될 수 있는지를 보여준다. 단순히 돈을 버는 것을 넘어, 돈을 다루는 법과 부를 유지하는 전략을 전한다. 이 책은 재테크 기술을 넘어, 돈과 삶을 바라보는 근본적인 시각을 변화시킨다. 경제적 자유를 이루는 핵심 원리와 실전 전략을 통해, 독자는 돈에 휘둘리는 사람이 아닌 돈을 통제하는 사람이 될 수 있다. 지속 가능한 부를 원하는가? 그렇다면 이제, 돈을 보는 시선을 바꿔야 한다.",부의 전략 수업,10%,"17,820원","19,800원",경제/경영,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791193262474.jpg,9791193262474.jpg
https://product.kyobobook.co.kr/detail/S000216362417,최강욱 외,"위헌적 계엄과 탄핵, 대통령 파면을 넘어 조기 대선 정국에 들어선 대한민국은 다시 보수와 진보, 우파와 좌파 간의 치열한 전장이 되었다. 정치와 개혁의 최전선에서 활약하다 지금은 잠시 디지털 크리에이터(유튜버)로서 대중과 만나고 있는 최강욱 전 의원. 다양한 매체에서 촌철살인의 정치 평론을 선보이는 그에게 정치학을 전공한 동생 최강혁은 자주 당부했다. “건강한 보수의 성장을 위해서, 누군가는 보수의 가치와 장점을 계속 말해야 한다”고. 지금 우리 사회에는 그 어느 때보다 상대 진영을 향한 증오의 언어가 난무하고 있다. 적대적 공생관계를 이어 가는 극단적 대결 구도도 점점 심화되고 있다. ‘최강 형제’는 우리 정치가 갈라치기와 혐오에서 벗어나 화합과 연대로 나아가기 위해서는 보수와 진보가 서로에 대해 잘 알아야만 한다고 여겼고, 이를 도와줄 수 있는 쉽고 친절한 정치 교양서를 함께 써 보기로 했다. 신간 《이로운 보수 의로운 진보》는 생생한 정치 현장을 온몸으로 겪어 온 정치인이자 법률가인 형 최강욱, 정치에 대한 깊은 관심과 이론적 역량으로 무장한 동생 최강혁이 의기투합하여 만들어 낸 결과물이다. 이 책에는 보수 성향의 ‘봉수 씨’와 진보 성향의 ‘진봉 씨’라는 50대 동갑내기 가상 인물이 등장한다. 이들의 대비되는 삶의 모습과 가치관은 보수와 진보의 세계관, 정치적 입장 차이를 극명하게 드러내 준다. 총 4부로 구성된 이 책의 1부 ‘보수와 진보의 위대한 탄생’에서는 ‘보수·진보’ ‘우파·좌파’ 개념이 어떻게 생겨났고 발전해 왔는지를 세계사적 배경, 프랑스혁명의 전개 과정 속에서 살펴본다. 2부 ‘보수와 진보는 어떻게 세상을 바라볼까’에서는 ‘봉수 씨’와 ‘진봉 씨’가 각 주제를 놓고 치열한 논쟁을 벌이고, 〈다크 나이트〉 〈킹스맨〉 〈기생충〉 〈죽은 시인의 사회〉 〈머니볼〉 〈설국열차〉 〈두 교황〉 등 익숙한 대중문화 콘텐츠를 통해 보수와 진보의 특징과 차이를 보여 준다. 지극히 일상 친화적이고 친절한 스토리텔링이어서 누구나 쉽게 내용의 흐름에 올라탈 수 있다. 3부 ‘혐오와 배척이 아닌 화합과 연대를 위해’에서는 가난과 빈부 격차, 평등과 복지, 능력주의와 학벌, LGBTQ, 낙태와 사형, 태극기부대와 키세스 시위대, 빈곤층의 보수성 등 우리 사회를 뜨겁게 달구는 이슈들에 대한 보수와 진보의 입장 차이, 각자가 추구하는 가치가 무엇이고 세상을 대하는 마음과 태도는 서로 어떻게 다른지를 알아본다. 마지막으로 4부 ‘이상적인 정치의 모델’에서는 이로운 보수의 모델로 독일의 앙겔라 메르켈 총리를, 의로운 진보의 모델로 미국의 버락 오바마 대통령을 소개하며, 우리나라에서 보수와 진보의 개념이 달라진 이유와 함께 진짜 보수정당과 새로운 진보정당 탄생에 대한 저자들의 기대를 이야기한다. 바람직한 정치와 민주주의에 대한 관심이 다시 커지고 있다. 각자의 가치관과 정치적 성향 차이가 어디서 비롯된 것인지 모른 채 ‘무지성’으로 보수·진보를 지지하거나 배척하는 경우가 많다. 정치적 양극화가 심한 한국 사회에서는 특히, 자신과 다른 이념적 위치에 있는 이들을 적극적으로 이해하려고 노력할 때 비로소 진정한 사회 통합과 민주주의의 성숙이 가능해질 것이다. 그런 맥락에서 이 책은 특히 청소년과 청년처럼 아직 정치적 가치관이 정립되지 않은 세대에게 보다 균형 잡힌 지식과 시각을 선사한다. 중장년 독자에게는 오래도록 관철해 온 자신의 정치적 입장을 새삼 성찰해 볼 기회, 남들에게 내가 왜 보수(또는 진보)인지 자신 있게 설명할 수 있는 넉넉한 근거를 제공한다.",이로운 보수 의로운 진보,10%,"18,000원","20,000원",정치/사회,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791172132477.jpg,9791172132477.jpg
https://product.kyobobook.co.kr/detail/S000216375315,이현수,"고대 구로병원 정신건강의학과에서 20년, 임상 현장에서 10년, 수많은 이의 마음을 다독여온 이현수 심리학 박사의 신작이 출간되었다. 이번 신작은 인생의 중반기를 지나는 이들을 위한 희망과 위안의 ‘인생 전환’ 심리 수업이다. 우리는 성장기에 열심히 배움에 정진하고 최선을 다하면, 중반기에는 전성기에 달해 인생을 여유롭게 맛보는 시간이 주어질 줄 안다. 그러나 예상치도 못한 깔딱고개다. ‘내 능력이 이것밖에 안 되었나?’ ‘내가 이렇게 소심하고 배짱이 없었나’ 하는 생각이 매일같이 밀려든다. 저자 역시 그랬다. 평탄할 줄 알았으나 예상과 달리 무척이나 버거운 시기를 지나왔다. 그래도 심리학을 전공한 업 때문에라도 조금이나마 이 시기를 잘 지나갈 방법이 있을 거라 믿으며 부단히 찾고 모았다. 그러한 개인적 경험과 전문가로서의 성찰을 녹여 이 책 『당신은 언제나 괜찮다』에 모두 담았다. 책은 인생 3분기에 갑자기 찾아온 신체적·심리적 대소동의 원인을 살피고, 소동을 진화할 방법을 찾도록 도와준다. ‘컴포트 존’을 확보하여 삶을 안정화하는 법을 소개하고, 인생 만족지수 지표인 ‘해피니스 커브’의 상승선에 빠르게 올라타 제2차 황금기를 맞이할 수 있는 기회 또한 열어준다. 책에 담긴 조언과 안내를 성실히 따라가다 보면, 텅 비어버린 자아를 다시 채울 소중한 보물들을 다시 찾을 수 있을 것이다. 살아가는 한 여전히 이것저것 참 많이 흔들리고 힘든 시간을 맞이하겠지만, 그럼에도 끝까지 스스로를 사랑하고 포기하지 않는다면 당신은 언제나 괜찮을 것이다.",당신은 언제나 괜찮다,10%,"17,820원","19,800원",인문,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791193937617.jpg,9791193937617.jpg
https://product.kyobobook.co.kr/detail/S000215103474,전승환,"전국 서점 인문 베스트셀러 1위, 교보문고·예스24 선정 ‘올해의 책’, 250만 독자의 사랑을 받는 ‘책 읽어주는 남자’ 전승환의 인문 에세이 『내가 원하는 것을 나도 모를 때』 개정증보판이 출간 5주년과 30만 부 판매를 기념하여 새로 출간되었다. 그저 하루하루 정신없이 살아내느라 자신이 정말 원하는 게 뭔지도 모른 채 무기력해진 이들에게 가슴 따뜻한 위로와 용기를 건넨 책은, 출간 직후 “앞이 깜깜해졌을 때 길을 열어준 책” “타인의 시선에서 벗어날 수 있게 해준 책” “깊은 위안으로 눈물을 멈추지 않게 한 책”이라는 찬사를 받으며 SNS에서 큰 화제를 불러일으켰고, 온·오프라인 독서모임의 수많은 독서광 사이에서도 극찬을 받으며 추천 릴레이가 이어졌다. 일본·중국·대만·인도네시아·베트남·태국 등 해외 6개국에 동시 수출되며 세계의 독자들로부터도 폭넓게 사랑받았을 뿐 아니라, 국내 주요 서점들에서 최장 기간 인문 베스트셀러 1위를 지키며 한 해 동안 가장 많이 사랑받은 ‘올해의 책’으로 꼽히기도 했다. 책은 인문, 동서양 고전, 철학, 역사, 시, 소설, 에세이 등 여러 분야를 관통하며 인생에 대한 진솔한 통찰과 지혜를 전할 뿐만 아니라, 저자가 삶의 방향을 잃고 헤맬 때 다시 일어설 용기와 앞으로 나아갈 힘을 준 150여 편의 ‘인생 문장들’을 소개하며 독자와 함께 이야기 나눈다. 내면을 차분히 들여다보며 내가 정말 원하는 게 뭔지, 앞으로 어떻게 살아야 할지 끊임없이 질문을 던지며 해답을 찾아나간다. 2025년 개정증보판에서는 ‘희망’과 ‘바람’을 키워드로 한 챕터를 추가 구성하여, 자신을 들여다보는 것에서 한 걸음 더 나아가 내가 바라는 나가 되기 위한 노력의 과정을 새로 들려준다. 내 마음의 진짜 목소리로 삶을 진실되고 풍성하게 채우려는 시도들과, 이로 인한 크고 작은 변화가 쌓이며 삶의 색이 점점 더 밝아지는 저자의 경이로운 경험들, 그리고 그 과정에서 저자를 북돋고 독려했던 문장들이 추가되었다. 뿐만 아니라, 마음에 위안과 평화를 주는 삽화를 새로 수록하여 지쳐 있는 독자의 눈을 밝힌다. 삶을 긍정으로 바꾸는 저자의 새로운 이야기에 귀 기울이다 보면, 독자들도 자신만의 속도로 삶의 빛을 찾아가는 방법을 선명히 깨우치게 될 것이다.",내가 원하는 것을 나도 모를 때,10%,"19,800원","22,000원",인문,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791193937150.jpg,9791193937150.jpg
https://product.kyobobook.co.kr/detail/S000216513214,장성락(REDICE STUDIO),"최약체에서 최강 헌터로, 세상의 중심에 서다! 카카오페이지에서 연일 화제를 모으며, 폭발적 인기 속에 연재를 마친 장성락(REDICE STUDIO) 만화, 추공 원작, 현군 각색 『만화 나 혼자만 레벨업』 단행본 13권이 출간된다. 대망의 본편 완결이라는 점에서 더욱 뜻깊다. 『만화 나 혼자만 레벨업』은 글로벌 플랫폼 웹툰 연재로 세계 각국에 팬덤이 형성될 만큼 완성도와 재미, 콘텐츠로서의 저력을 입증한 작품이다. 또한 압도적인 인기에 힘입어 국내 단행본 출간 이전 독일, 프랑스 등지에 선수출되었으며, 뒤를 이어 세계 각국에서 수출 릴레이를 이어가는 중이다. 단행본은 본문 전면 재연출을 거쳐 넉넉한 판형으로 출간되어, 모바일 감상과는 또 다른 ‘나혼렙’ 액션신의 쾌감을 100% 만끽할 수 있다. 한 화 읽고 나면 정신을 차릴 수 없이 빠져드는 레이드 액션의 진수! 돈 없고, 빽 없고, 능력 없는 사상 최약체 E급 헌터, 성진우의 화려한 부활, 그리고 레벨업이 시작된다!",나 혼자만 레벨업 14(한정판),10%,"34,200원","38,000원",만화,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791173820342.jpg,9791173820342.jpg
https://product.kyobobook.co.kr/detail/S000216393109,제이슨 솅커,"""신냉전의 전장에 선 지금, 준비할 것인가, 당할 것인가."" 혼돈의 시대, 전략은 선택이 아니라 생존이다! “전쟁은 시작됐다. 제이슨 솅커는 그 전장의 지도를 우리 손에 쥐여 준다.” _《포브스》 지금, 전 세계는 생존을 건 제2차 냉전에 돌입했다. 과거 냉전과는 차원이 다르다. 국가 간 물리적 충돌 대신 공급망은 무기화되고 기술이 국경을 대신하며, 정보와 데이터가 전장의 중심이 되는 새로운 전쟁이 펼쳐지고 있다. 작가 제이슨 솅커는 블룸버그가 선정한 세계 1위 미래 전략가다. 미국 국방성, 국무부, 나토, CIA, 연방준비제도이사회 등 다양한 정부·국제 기구·민간 부문에서 전략 자문가로 활동하며 1,200회 이상 기조연설을 해왔다. 그는 코로나19로 전 세계가 극심한 불확실성에 휩싸였을 때 『코로나 이후의 세계』를 통해 위기를 기회로 바꾸는 방향을 제시하며 주목받았다. 그리고 2025년 들어 더욱 격화되는 신냉전 상황에서 그는 이 책 『제2차 냉전 시대』로 다시 한번 예리한 통찰과 전략적 시각을 보이며 전례 없는 글로벌 갈등의 실체를 날카롭게 해부한다. 미국과 중국, 러시아, 이란, 북한을 중심으로 형성된 양극 체제는 더 이상 ‘강대국 경쟁’만이 아니다. 그것은 이미 구조화된 냉전 질서이며, 우리가 매일 마주하는 경제적ㆍ기술적ㆍ안보적 혼란의 원인이기도 하다. 작가는 말한다. 이 전쟁은 더 이상 탱크와 미사일로만 이루어지지 않는다고. 이제 전장을 지배하는 것은 반도체, 에너지, 희토류, 알고리즘 그리고 AI 기반의 허위 정보다. 국가 간 경제가 긴밀히 연결된 시대, 공급망을 끊고 기술을 차단하는 것이 곧 적국을 무너뜨리는 가장 강력한 전략이 되었다. 이 책에서 그는 관세가 경제적 방패이자 칼이 되는 구조, 사이버전이 국가 안보의 중심으로 부상한 현실, 그리고 기술 패권을 둘러싼 양극화된 세계를 조망한다. 작가는 신냉전이라는 시대상을 통해 공포를 부추기려는 것이 아니라 이 복합적 갈등을 헤쳐나가기 위한 전략적 시나리오를 제시한다. 기업, 정부, 군, 개인 모두가 ‘미래를 사고하는 법’을 익히고, 그에 맞춰 조직의 구조와 사고방식을 재설계해야 한다. 이제 경제 안보, 사이버 방어, 기술 주권, 공급망 회복 탄력성은 선택이 아니라 생존의 기준이다. 『제2차 냉전 시대』는 예언이 아니다. 이는 선언이자 현실이며, 동시에 행동을 요구하는 전략서다. 이 책은 당신이 어떤 위치에 있든, 이 냉전의 한복판에 서 있다는 사실을 일깨운다. 그리고 그 전장의 지도를 건네준다. 이제 선택은 당신의 몫이다. 준비할 것인가, 무방비로 당할 것인가.",제2차 냉전 시대,10%,"16,020원","17,800원",경제/경영,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791194156185.jpg,9791194156185.jpg
